Event,Date,Race_time,Distance,Laps,Rang,Bib,ID,UCI_Class_code,NOC,Team,Time,Lapped,Velocity,Gender,Class
2018-Maniago-Wch,5/8/18,11:20,68,5,DNF,460,214,WC5,NED,NETHERLANDS,NA,0,NA,W,C5
2012-Segovia-Wcup,17/6/12,11:02,60,5,DNF,311,307,WC5,GREAT BRITAIN,GBR,NA,0,NA,W,C5
2013-Baie-Comeau-Wcha,1/9/13,8:02,57.2,3,DNF,91,356,WC5,AUSTRALIA,AUS,NA,0,NA,W,C5
2014-Segovia_Wcup,27/7/14,16:02,64,8,DNF,427,504,WC5,SOUTH AFRICA,RSA,NA,0,NA,W,C5
2012-Rome-Wcup,27/5/12,9:02,55,11,DNF,363,506,WC5,SWITZERLAND,SUI,NA,0,NA,W,C5
2017-PMB-WCh,3/9/17,8:02,60.7,10,DNF,329,512,WC5,USA,USA,NA,0,NA,W,C5
2015-Nottwil-Wch,1/8/15,16:02,62,4,DNF,392,642,WC5,CHN,CHINA,NA,0,NA,W,C5
2018-Maniago-Wch,4/8/18,15:02,27.2,2,DNF,542,139,WT1,CZE,CZECH REPUBLIC,NA,0,NA,W,T1
2015-Yverdon-Wcup,15/6/15,11:05,14.53,1,DNS,442,139,WT1,CZE,CZECH REPUBLIC,NA,0,NA,W,T1
2018-Ostend_Wcup,5/5/18,9:02,32,4,DNS,551,190,WT1,CAN,CANADA,NA,0,NA,W,T1
2015-Yverdon-Wcup,15/6/15,11:05,14.53,1,DNF,445,346,WT1,SVK,SLOVAKIA,NA,0,NA,W,T1
2014-Castiglione-Wcup,10/5/14,11:17,24.6,3,DNF,368,464,WT1,INDEPENDANT,FRA,NA,0,NA,W,T1
2017-PMB-WCh,2/9/17,13:32,24.3,4,DNF,383,533,WT1,RUS,RUSSIA,NA,0,NA,W,T1
2018-Emmen-Wcup,7/7/18,9:30,25.2,4,DNS,532,125,WT2,CAN,INDIVIDUAL,NA,0,NA,W,T2
2018-BaieComeau-Wcup,19/8/18,13:47,28.4,3,DNF,402,125,WT2,CAN,CANADA,NA,0,NA,W,T2
2016-Ostend-Wcup,21/5/16,9:00,25.05,3,DNS,476,125,WT2,CAN,CANADA,NA,0,NA,W,T2
2015-Yverdon-Wcup,15/6/15,11:00,29.06,2,DNS,451,125,WT2,CAN,CANADA,NA,0,NA,W,T2
2012-Baie-Comeau-Wcup,7/7/12,10:02,25.9,3,DNF,221,125,WT2,CANADA,CAN,NA,0,NA,W,T2
2013-Segovia-Wcup,3/8/13,13:00,24,2,DNF,412,244,WT2,INDEPENDANT,FRA,NA,0,NA,W,T2
2018-Maniago-Wch,4/8/18,15:02,27.2,2,DNF,554,334,WT2,NZL,NEW ZEALAND,NA,0,NA,W,T2
2018-Maniago-Wch,4/8/18,15:02,27.2,2,DNS,556,522,WT2,USA,USA,NA,0,NA,W,T2
2017-PMB-WCh,2/9/17,13:32,24.3,4,DNF,404,522,WT2,USA,USA,NA,0,NA,W,T2
