Event,Event_name,Event_order,Event_year,Date,Race_time_clock,Distance,Laps,Rang,Participant,UCI_Class_code,Year_of_birth,Age,Team,Time,Time_seconds,Time_min,Time_hours,Velocity,Gender_name,Gender,Class_number,Class,Discipline
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,9/07/2011,9:30,25.9,3,4,400,MT2,NA,NA,SOUTH AFRICA,0:56:07,3367,56.11666667,0.935277778,27.69230769,Men,1,2,T2,T
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:00,57,5,2,414,MC3,1976,35,RUSSIA,1:38:50,5930,98.83333333,1.647222222,34.60370995,Men,1,3,C3,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:00,57,5,10,427,MC2,NA,NA,CANADA,1:51:10,6670,111.1666667,1.852777778,30.76461769,Men,1,2,C2,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,10,440,MC4,1983,28,SOUTH AFRICA,2:29:21,8961,149.35,2.489166667,32.058922,Men,1,4,C4,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,9,450,MC4,1986,25,RUSSIA,2:26:33,8793,146.55,2.4425,32.67144319,Men,1,4,C4,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,6,460,MC5,1993,18,INDEPENDANT,2:15:36,8136,135.6,2.26,35.30973451,Men,1,5,C5,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,11,462,MC5,1992,19,MEXICO,2:28:37,8917,148.6166667,2.476944444,32.21711338,Men,1,5,C5,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,7,469,MC4,NA,NA,BELGIUM,2:24:52,8692,144.8666667,2.414444444,33.05108145,Men,1,4,C4,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:02,57,5,4,506,WC5,NA,NA,SWITZERLAND,1:51:17,6677,111.2833333,1.854722222,30.73236483,Women,2,5,C5,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:32,45.6,4,1,507,WC3,1985,26,GERMANY,1:31:10,5470,91.16666667,1.519444444,30.01096892,Women,2,3,C3,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,1,516,MC5,1977,34,BRAZIL,2:08:31,7711,128.5166667,2.141944444,37.25586824,Men,1,5,C5,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,9/07/2011,9:30,25.9,3,6,519,MT2,1986,25,RUSSIA,1:00:27,3627,60.45,1.0075,25.70719603,Men,1,2,T2,T
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:00,57,5,7,554,MC2,1965,46,CZECH,1:40:14,6014,100.2333333,1.670555556,34.12038577,Men,1,2,C2,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:02,57,5,3,584,WC5,1984,27,SWITZERLAND,1:46:19,6379,106.3166667,1.771944444,32.16805142,Women,2,5,C5,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,9/07/2011,9:30,25.9,3,3,614,MT2,1983,28,SOUTH AFRICA,0:55:03,3303,55.05,0.9175,28.22888283,Men,1,2,T2,T
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:00,57,5,6,619,MC3,1977,34,GREAT BRITAIN,1:38:50,5930,98.83333333,1.647222222,34.60370995,Men,1,3,C3,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,8:00,57,5,5,622,MC3,1985,26,GERMANY,1:38:50,5930,98.83333333,1.647222222,34.60370995,Men,1,3,C3,C
Baie-ComeauWCup2011,Baie-ComeauWCup,3,2011,10/07/2011,10:30,79.8,7,8,627,MC5,1974,37,GREAT BRITAIN,2:16:18,8178,136.3,2.271666667,35.12839325,Men,1,5,C5,C
